Namespace(batch_size=16, cuda=True, d_inner_hid=2048, d_k=64, d_model=512, d_v=64, d_word_vec=512, data='./exp_quatrain_1/vocab/pretrain_vocab', dropout=0.1, embs_share_weight=True, epoch=30, label_smoothing=True, log='./exp_quatrain_1/log/pretrain_4layer_6head_0.5mask', max_token_seq_len=514, model=None, n_head=6, n_layers=4, n_warmup_steps=4000, no_cuda=False, proj_share_weight=True, save_mode='best', save_model='./exp_quatrain_1/pretrain/pretrain_4layer_6head_0.5mask', save_thres=None, seed=42, src_vocab_size=95831, tgt_vocab_size=95831)
epoch,loss,ppl,accuracy
0, 7.83176, 2519.35576,27.186
1, 5.27568, 195.52243,45.993
2, 3.93169, 50.99321,61.680
3, 3.32919, 27.91565,70.814
4, 3.02019, 20.49526,75.699
5, 2.83572, 17.04270,78.577
6, 2.68268, 14.62422,81.060
7, 2.57525, 13.13454,82.777
8, 2.50323, 12.22186,83.841
